video_url,video_description,like_count,sentiment
https://www.tiktok.com/@tamunoabbey/video/7616394878360096022,CeraVe Invisible Hydrating Fluid Sunscreen SPF 50 on Dark Skin - It leaves a cast - It stings my eyes - It pills #cerave #sunscreen #sunscreenviral,13100,
https://www.tiktok.com/@sewresilient/video/6997043557827677445,,,
https://www.tiktok.com/@ronyayvonne/video/7648817355279174943,HELP!!! What in the Super Divine & Ghostbusters Shiii is going on here on this day @CeraVe ??? Why is my skincare changing colors right before my eyes diva?!?! I’m nervous! 😬 #skincarefail #cerave,1804,
https://www.tiktok.com/@taohyun/video/7122515042964131118,Esthetician reviews: #cerave resurfacing retinol serum. . sort of a fluid gel consistency that is a bit sticky on the skin in my opinion. A bit irritating to my skin barrier. . I would pass on it. #skincare #ulta #fyp,299,
https://www.tiktok.com/@drspf/video/7662127712558992671,"#CeraVePartner Leave the squeaks to your sneaks—not your face 👟 🫧 If your skin feels tight, dry, or stripped after cleansing, that “squeaky clean” feeling may be a sign your cleanser is disrupting your skin barrier 😢 Clean skin should feel refreshed, comfortable, and balanced 🙌 Choose a @CeraVe cleanser that works with your skin, not against it 🤙 #CeraVe #NBASummerLeague #Cleanser #SkincareMyths",32,
https://www.tiktok.com/@maielsamedy/video/7640181998950157588,Cerave SA smoothing cleanser honest Review 📌#salisylicacid #facecleanser #cleanser #ceraveskincare #cerave,1456,
https://www.tiktok.com/@ma_yar_ahmed/video/7376826606511295750,Cerave eye cream اتصدمت فيه بجد😭😭 الحمدلله الحباية بتصغر كل يوم بس محدش يجيبه يا جماعة #cerave #eyecream #review #honestreview #skincare #skincareroutine #skincaretips,506,
https://www.tiktok.com/@akwaugoj/video/7563696105540619541,,,
https://www.tiktok.com/@ayasellamy/video/7560418361453120786,🩵 #fyp #skincare #cerave @CeraVe Arabia,6175,
https://www.tiktok.com/@garbo.zhu/video/7628263557305568520,"cleanse smart, not harder with @CeraVe #cerasquad2026 #ceravepartner",11400,
https://www.tiktok.com/@sudscrub/video/7662449690084003086,Your cleanser might be doing less than you think 👀 #Skincare #FaceWash #CeraVe #SudScrub,114,
https://www.tiktok.com/@precious_contentcreator4/video/7536524260425174277,CERAVE SA SMOOTHING CLEANSER IS THAT PRODUCT THAT SAVED MY SKIN. @CeraVe SA Smoothing Cleanser cleared up my acne ! #cerave #ceraveskincare #ceravesacleanser #creatorsearchinsights #acne #acnetreatment #acneproneskin #clearskin #skincareroutine #skincare #pimples #pimplesolution #clearskin #skintips #skincaretips #glassskin #texturedskin #skincareproducts,39200,
https://www.tiktok.com/@ash.vibezzz/video/7533284949592427783,,1365,
https://www.tiktok.com/@tchaoskin/video/7559453084326300959,,,
https://www.tiktok.com/@oritsetemisan/video/7616249158025956630,"My skin barrier was really struggling recently… my skin felt so dry and sensitive. Since using the CeraVe Moisturising Cream, my skin has felt so much more hydrated and calmer already. @CeraVeUKI 💙 #cerave #ceravemoisturizingcream #ceravemoisturiser #cerawardsuki #lorealistarskincident",2786,
https://www.tiktok.com/@natalie_oneillll/video/7472781932615601410,I also rate the whole cerave range in an earlier video ✨ smash or pass Cerave cleansers bc they get so much hype #cerave #affordableskincare #skincareproduct #acneproneskin,31600,
https://www.tiktok.com/@ingredientsdecoded/video/7609220835408121108,"Gel-to-foam cleanser for oily skin?🫧👀 It is important to read your labels and understand what exactly you are applying to your skin. The dangers of marketing tactics have left many users questioning why certain products aren’t compatible with their skin types. While skin types vary, so do results. Which is why it is important to always do a patch test first before applying a product on larger areas of your skin. This video is for educational purposes. Based on publicly available information. No medical advice. Just research. Always consult with a professional doctor and do your own research. ✅ FOLLOW: INGREDIENTS DECODED ✅ SAVE THIS VIDEO FOR YOUR NEXT PURCHASE. ✅ SHARE THIS VIDEO WITH FRIENDS AND FAMILY. #ingredientsdecoded #skincareeducation #ceraveskincare #oilyskin #dailycleanser",31,
https://www.tiktok.com/@anka.casablanca/video/7587881097480965431,Ответ пользователю @🐇 thanx for your interest girls🩷 #toxicbeauty #cleanbeautyproducts #cleanskincare #porecloggingingredients #nontoxicbeauty,43000,
